time,cluster,in_out
1368613603.0,0,in
1368624926.0,0,out
1368625560.0,61,in
1368625560.0,61,out
1368625561.0,61,in
1368626126.0,61,out
1368627348.0,0,in
1368624926.0,0,out
1368625560.0,61,in
1368626126.0,61,out
1368627348.0,0,in
1369228022.0,0,out
1369228882.0,61,in
1369228944.0,61,out
1369228944.0,0,in
1369228022.0,0,out
1369228882.0,61,in
1369228944.0,61,out
1369228944.0,0,in
1369695196.0,0,out
1369696816.0,56,in
1369695196.0,56,out
1369696816.0,56,in
1369910529.0,56,out
1369910529.0,0,in
1370041222.0,0,out
1370612395.0,61,in
1370612516.0,61,out
1370612395.0,61,in
1370612516.0,61,out
1371355092.0,1,in
1371355475.0,1,out
1371355475.0,0,in
1371355092.0,0,out
1371355092.0,1,in
1371355475.0,1,out
1371355475.0,0,in
1373289145.0,0,out
1373292425.0,4,in
1373292453.0,4,out
1373292453.0,1,in
1373292526.0,1,out
1373292526.0,4,in
1373289145.0,4,out
1373292425.0,4,in
1373292453.0,4,out
1373292453.0,1,in
1373292526.0,1,out
1373292526.0,4,in
1373415492.0,4,out
1373416503.0,61,in
1373417195.0,61,out
1373416503.0,61,in
1373417195.0,61,out
1373808459.0,31,in
1373808532.0,31,out
1373808671.0,7,in
1373808803.0,7,out
1373808803.0,1,in
1373805411.0,1,out
1373808459.0,31,in
1373808532.0,31,out
1373808671.0,7,in
1373808803.0,7,out
1373808803.0,1,in
1374020393.0,1,out
1374020876.0,61,in
1374020953.0,61,out
1374020876.0,61,in
1374020953.0,61,out
1374289187.0,61,in
1374292163.0,61,out
1374293088.0,4,in
1374293121.0,4,out
1374293121.0,1,in
1374289187.0,1,out
1374289187.0,61,in
1374292163.0,61,out
1374293088.0,4,in
1374293121.0,4,out
1374293121.0,1,in
1374538294.0,1,out
1374661121.0,61,in
1374661155.0,61,out
1374662184.0,4,in
1374662233.0,4,out
1374662233.0,1,in
1374660929.0,1,out
1374661121.0,61,in
1374661155.0,61,out
1374662184.0,4,in
1374662233.0,4,out
1374662233.0,1,in
1374712377.0,1,out
1374712671.0,61,in
1374712790.0,61,out
1374712671.0,61,in
1374712790.0,61,out
1374834190.0,61,in
1374834809.0,61,out
1374835657.0,4,in
1374835689.0,4,out
1374835689.0,1,in
1374809264.0,1,out
1374834190.0,61,in
1374834809.0,61,out
1374835657.0,4,in
1374835689.0,4,out
1374835689.0,1,in
1375103205.0,1,out
1375103205.0,7,in
1375103353.0,7,out
1375103415.0,49,in
1375103418.0,49,out
1375103501.0,18,in
1375103537.0,18,out
1375103728.0,18,in
1375103738.0,18,out
1375103842.0,49,in
1375103847.0,49,out
1375103875.0,7,in
1375103907.0,7,out
1375105494.0,7,in
1375105513.0,7,out
1375105513.0,1,in
1375103205.0,1,out
1375103205.0,7,in
1375103353.0,7,out
1375103415.0,49,in
1375103418.0,49,out
1375103501.0,18,in
1375103537.0,18,out
1375103728.0,18,in
1375103738.0,18,out
1375103842.0,49,in
1375103847.0,49,out
1375103875.0,7,in
1375103907.0,7,out
1375105494.0,7,in
1375105513.0,7,out
1375105513.0,1,in
1375144270.0,1,out
1375144487.0,61,in
1375144573.0,61,out
1375180737.0,1,in
1375144270.0,1,out
